,Year,Location,Question,Value,Sample_Size,Total,Age,Education,Gender,Income,Race/Ethnicity
2770,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,34.1,1368.0,,,High school graduate,,,
2771,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,29.2,352.0,,,,,"$50,000 - $74,999",
2772,2018,National,Percent of adults aged 18 years and older who have obesity,34.5,46846.0,,35 - 44,,,,
2774,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,20.6,479.0,,18 - 24,,,,
2775,2018,Missouri,Percent of adults aged 18 years and older who have obesity,33.1,4880.0,,,,,,Non-Hispanic White
2776,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,38.2,1188.0,,,Some college or technical school,,,
2777,2018,Idaho,Percent of adults aged 18 years and older who have obesity,28.9,554.0,,,,,"$50,000 - $74,999",
2779,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,36.1,1652.0,,,Some college or technical school,,,
2780,2018,Utah,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2781,2018,Ohio,Percent of adults aged 18 years and older who have obesity,38.2,1965.0,,,,,"$15,000 - $24,999",
2782,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,24.3,6577.0,,,College graduate,,,
2783,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2784,2018,Oregon,Percent of adults aged 18 years and older who have obesity,29.6,4466.0,,,,,,Non-Hispanic White
2785,2018,Alabama,Percent of adults aged 18 years and older who have obesity,34.6,2626.0,,,,Male,,
2786,2018,Illinois,Percent of adults aged 18 years and older who have obesity,32.5,1437.0,,65 or older,,,,
2787,2018,Michigan,Percent of adults aged 18 years and older who have obesity,31.4,4666.0,,,,Male,,
2788,2018,Missouri,Percent of adults aged 18 years and older who have obesity,39.2,1610.0,,,Some college or technical school,,,
2789,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,21.7,63.0,,,,,,Hispanic
2790,2018,Missouri,Percent of adults aged 18 years and older who have obesity,37.9,463.0,,,Less than high school,,,
2791,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,39.8,63.0,,,,,,American Indian/Alaska Native
2792,2018,Montana,Percent of adults aged 18 years and older who have obesity,41.4,535.0,,,,,,American Indian/Alaska Native
2794,2018,Illinois,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2796,2018,Colorado,Percent of adults aged 18 years and older who have obesity,21.7,633.0,,,,,"$25,000 - $34,999",
2797,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,17.4,2468.0,,65 or older,,,,
2798,2018,Alabama,Percent of adults aged 18 years and older who have obesity,32.1,1353.0,,,,,"$75,000 or greater",
2799,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,33.6,1212.0,,,High school graduate,,,
2800,2018,Nevada,Percent of adults aged 18 years and older who have obesity,29.2,1538.0,,,,Female,,
2801,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,41.9,758.0,,45 - 54,,,,
2802,2018,Oregon,Percent of adults aged 18 years and older who have obesity,31.7,1728.0,,,Some college or technical school,,,
2804,2018,Guam,Percent of adults aged 18 years and older who have obesity,30.5,357.0,,,Some college or technical school,,,
2805,2018,Georgia,Percent of adults aged 18 years and older who have obesity,19.8,604.0,,18 - 24,,,,
2806,2018,California,Percent of adults aged 18 years and older who have obesity,18.1,4619.0,,,College graduate,,,
2807,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,37.0,51.0,,,,,,2 or more races
2808,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,25 - 34,,,,
2809,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,33.1,2344.0,,,,Female,,
2810,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.6,170.0,,,,,"$50,000 - $74,999",
2811,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,29.0,4175.0,Total,,,,,
2812,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,26.6,121.0,,,,,,Hispanic
2813,2018,Michigan,Percent of adults aged 18 years and older who have obesity,26.7,3702.0,,,College graduate,,,
2814,2018,Iowa,Percent of adults aged 18 years and older who have obesity,40.6,1151.0,,35 - 44,,,,
2815,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,37.8,1991.0,,,,,,Hispanic
2816,2018,Georgia,Percent of adults aged 18 years and older who have obesity,29.6,2640.0,,65 or older,,,,
2817,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,26.4,966.0,,,,,"$35,000 - $49,999",
2819,2018,Maine,Percent of adults aged 18 years and older who have obesity,30.2,992.0,,,,,"$25,000 - $34,999",
2820,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,29.3,688.0,,,,,Data not reported,
2821,2018,Alabama,Percent of adults aged 18 years and older who have obesity,35.1,556.0,,,,,"$25,000 - $34,999",
2822,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,32.2,468.0,,,,,,Non-Hispanic Black
2823,2018,Montana,Percent of adults aged 18 years and older who have obesity,26.9,4804.0,Total,,,,,
2824,2018,Maryland,Percent of adults aged 18 years and older who have obesity,25.7,7493.0,,,College graduate,,,
2825,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,35.3,600.0,,,,,"$50,000 - $74,999",
2826,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,25.5,1383.0,,,,Female,,
2827,2018,California,Percent of adults aged 18 years and older who have obesity,34.5,94.0,,,,,,American Indian/Alaska Native
2828,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2829,2018,Oregon,Percent of adults aged 18 years and older who have obesity,24.5,2124.0,,,College graduate,,,
2831,2018,Idaho,Percent of adults aged 18 years and older who have obesity,29.0,1340.0,,65 or older,,,,
2832,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,35.7,3819.0,,,,,,Non-Hispanic White
2833,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,27.0,634.0,,25 - 34,,,,
2834,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,24.7,4081.0,Total,,,,,
2835,2018,Arizona,Percent of adults aged 18 years and older who have obesity,24.0,1818.0,,,,,"$75,000 or greater",
2836,2018,Ohio,Percent of adults aged 18 years and older who have obesity,34.0,11907.0,Total,,,,,
2837,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2838,2018,Texas,Percent of adults aged 18 years and older who have obesity,22.7,161.0,,,,,,2 or more races
2839,2018,Vermont,Percent of adults aged 18 years and older who have obesity,27.7,2820.0,,,,Male,,
2840,2018,Vermont,Percent of adults aged 18 years and older who have obesity,31.6,724.0,,,,,"$15,000 - $24,999",
2841,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,36.4,806.0,,,,,"Less than $15,000",
2842,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2843,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2844,2018,Alaska,Percent of adults aged 18 years and older who have obesity,34.2,379.0,,45 - 54,,,,
2845,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,33.8,1385.0,,55 - 64,,,,
2846,2018,Delaware,Percent of adults aged 18 years and older who have obesity,32.6,1370.0,,,,,"$75,000 or greater",
2848,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,40.4,833.0,,45 - 54,,,,
2849,2018,Utah,Percent of adults aged 18 years and older who have obesity,29.5,1778.0,,35 - 44,,,,
2850,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,16.4,2569.0,,,College graduate,,,
2851,2018,Alaska,Percent of adults aged 18 years and older who have obesity,27.2,833.0,,65 or older,,,,
2852,2018,Texas,Percent of adults aged 18 years and older who have obesity,37.7,1850.0,,55 - 64,,,,
2853,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,21.8,357.0,,25 - 34,,,,
2854,2018,Arizona,Percent of adults aged 18 years and older who have obesity,32.7,146.0,,,,,,Non-Hispanic Black
2855,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,35.0,1031.0,,,,,"Less than $15,000",
2857,2018,Maine,Percent of adults aged 18 years and older who have obesity,32.6,2692.0,,,Some college or technical school,,,
2858,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,19.1,3137.0,,,College graduate,,,
2859,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,40.3,62.0,,,,,,American Indian/Alaska Native
2860,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,34.4,4756.0,Total,,,,,
2861,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.0,828.0,,45 - 54,,,,
2862,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
2863,2018,Michigan,Percent of adults aged 18 years and older who have obesity,36.3,1169.0,,,,,"$35,000 - $49,999",
2864,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,33.4,568.0,,,Less than high school,,,
2865,2018,Washington,Percent of adults aged 18 years and older who have obesity,32.2,1445.0,,,,,"$35,000 - $49,999",
2866,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,29.6,1584.0,,,College graduate,,,
2867,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,43.5,103.0,,,,,,Non-Hispanic Black
2868,2018,Utah,Percent of adults aged 18 years and older who have obesity,15.3,105.0,,,,,,Asian
2869,2018,Idaho,Percent of adults aged 18 years and older who have obesity,28.3,261.0,,,,,"Less than $15,000",
2870,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,35 - 44,,,,
2871,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,36.0,1354.0,,,College graduate,,,
2872,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,19.5,420.0,,18 - 24,,,,
2873,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.9,1245.0,,,Some college or technical school,,,
2874,2018,National,Percent of adults aged 18 years and older who have obesity,29.5,41186.0,,25 - 34,,,,
2877,2018,Ohio,Percent of adults aged 18 years and older who have obesity,35.5,3263.0,,,Some college or technical school,,,
2878,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2879,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,41.2,399.0,,35 - 44,,,,
2880,2018,Maryland,Percent of adults aged 18 years and older who have obesity,36.9,144.0,,,,,,Other
2881,2018,Michigan,Percent of adults aged 18 years and older who have obesity,32.6,81.0,,,,,,American Indian/Alaska Native
2882,2018,Maine,Percent of adults aged 18 years and older who have obesity,35.5,193.0,,,,,,2 or more races
2883,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.8,783.0,,,,,"$50,000 - $74,999",
2884,2018,Kansas,Percent of adults aged 18 years and older who have obesity,28.8,1270.0,,,,,Data not reported,
2885,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,30.2,193.0,,,Less than high school,,,
2887,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,10.9,64.0,,,,,,Asian
2888,2018,Delaware,Percent of adults aged 18 years and older who have obesity,33.6,2119.0,,,,Male,,
2889,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,45.4,1344.0,,45 - 54,,,,
2890,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,32.8,4595.0,,,,,,Hispanic
2891,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,34.2,317.0,,,,,,Non-Hispanic Black
2892,2018,Colorado,Percent of adults aged 18 years and older who have obesity,29.4,511.0,,,Less than high school,,,
2893,2018,Michigan,Percent of adults aged 18 years and older who have obesity,36.0,2962.0,,,Some college or technical school,,,
2895,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,46.2,1136.0,,,,,,Non-Hispanic Black
2896,2018,Maryland,Percent of adults aged 18 years and older who have obesity,27.9,6662.0,,65 or older,,,,
2897,2018,Indiana,Percent of adults aged 18 years and older who have obesity,36.6,2337.0,,,High school graduate,,,
2898,2018,Maryland,Percent of adults aged 18 years and older who have obesity,36.9,2528.0,,45 - 54,,,,
2899,2018,Washington,Percent of adults aged 18 years and older who have obesity,33.2,2352.0,,55 - 64,,,,
2901,2018,Alabama,Percent of adults aged 18 years and older who have obesity,30.8,78.0,,,,,,Hispanic
2902,2018,Kansas,Percent of adults aged 18 years and older who have obesity,37.4,2962.0,,,Some college or technical school,,,
2903,2018,Missouri,Percent of adults aged 18 years and older who have obesity,35.1,512.0,,25 - 34,,,,
2904,2018,Guam,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2906,2018,Delaware,Percent of adults aged 18 years and older who have obesity,33.5,4629.0,Total,,,,,
2908,2018,Florida,Percent of adults aged 18 years and older who have obesity,16.6,762.0,,18 - 24,,,,
2909,2018,Ohio,Percent of adults aged 18 years and older who have obesity,26.0,1592.0,,,,,Data not reported,
2910,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,28.0,5726.0,,,,,"$75,000 or greater",
2911,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,36.9,955.0,,,,,"$75,000 or greater",
2912,2018,Guam,Percent of adults aged 18 years and older who have obesity,29.0,691.0,,,,Male,,
2913,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,29.0,1579.0,,,College graduate,,,
2915,2018,Montana,Percent of adults aged 18 years and older who have obesity,34.2,402.0,,,,,"Less than $15,000",
2917,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,42.6,125.0,,,,,,2 or more races
2918,2018,Georgia,Percent of adults aged 18 years and older who have obesity,33.3,935.0,,,,,"$35,000 - $49,999",
2919,2018,California,Percent of adults aged 18 years and older who have obesity,30.6,1748.0,,45 - 54,,,,
2920,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,High school graduate,,,
2921,2018,Kansas,Percent of adults aged 18 years and older who have obesity,37.3,2581.0,,,High school graduate,,,
2922,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,12.3,138.0,,,,,,Asian
2923,2018,Oregon,Percent of adults aged 18 years and older who have obesity,32.7,766.0,,,,,"$50,000 - $74,999",
2924,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,29.2,5282.0,,,,,,Non-Hispanic White
2925,2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.4,4412.0,,,,Male,,
2926,2018,Maine,Percent of adults aged 18 years and older who have obesity,30.5,2275.0,,55 - 64,,,,
2927,2018,Alabama,Percent of adults aged 18 years and older who have obesity,43.7,1364.0,,55 - 64,,,,
2928,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,38.5,552.0,,25 - 34,,,,
2930,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,26.0,69.0,,,,,,2 or more races
2931,2018,Colorado,Percent of adults aged 18 years and older who have obesity,22.0,971.0,,25 - 34,,,,
2932,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,25.9,859.0,,25 - 34,,,,
2933,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,35.6,1334.0,,,Some college or technical school,,,
2934,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,26.8,295.0,,,,,,Non-Hispanic Black
2935,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,40.9,359.0,,,,,"Less than $15,000",
2936,2018,Idaho,Percent of adults aged 18 years and older who have obesity,28.4,3434.0,Total,,,,,
2937,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.9,263.0,,,,,,Hispanic
2939,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,42.7,534.0,,,,,,Non-Hispanic Black
2940,2018,Alabama,Percent of adults aged 18 years and older who have obesity,39.2,1725.0,,,Some college or technical school,,,
2942,2018,Michigan,Percent of adults aged 18 years and older who have obesity,33.0,9589.0,Total,,,,,
2943,2018,Ohio,Percent of adults aged 18 years and older who have obesity,34.0,10426.0,,,,,,Non-Hispanic White
2944,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,20.1,1270.0,,,College graduate,,,
2945,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,41.1,636.0,,,,,"$35,000 - $49,999",
2946,2018,Florida,Percent of adults aged 18 years and older who have obesity,34.2,1752.0,,,,,"$50,000 - $74,999",
2947,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,40.8,661.0,,45 - 54,,,,
2948,2018,New Mexico,Percent of adults aged 18 years and older who have obesity,32.3,6269.0,Total,,,,,
2949,2018,Arizona,Percent of adults aged 18 years and older who have obesity,31.1,1852.0,,,High school graduate,,,
2950,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,36.5,636.0,,,,,"$35,000 - $49,999",
2951,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,31.8,2591.0,,65 or older,,,,
2952,2018,California,Percent of adults aged 18 years and older who have obesity,34.4,1404.0,,,Less than high school,,,
2953,2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.7,766.0,,,,,"$25,000 - $34,999",
2954,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,22.5,2218.0,,,College graduate,,,
2955,2018,Alaska,Percent of adults aged 18 years and older who have obesity,26.7,261.0,,,,,"$35,000 - $49,999",
2956,2018,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,2 or more races
2957,2018,Illinois,Percent of adults aged 18 years and older who have obesity,42.5,648.0,,,,,,Non-Hispanic Black
2958,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,38.4,697.0,,,Less than high school,,,
2959,2018,Puerto Rico,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2960,2018,Montana,Percent of adults aged 18 years and older who have obesity,25.4,1112.0,,,,,"$75,000 or greater",
2961,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,29.3,1940.0,,,,,"$75,000 or greater",
2962,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,30.7,607.0,,,,,"$35,000 - $49,999",
2963,2018,Rhode Island,Percent of adults aged 18 years and older who have obesity,28.5,72.0,,,,,,Other
2964,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,34.5,6334.0,,,,Male,,
2965,2018,Missouri,Percent of adults aged 18 years and older who have obesity,,,,,,,,Asian
2966,2018,Virginia,Percent of adults aged 18 years and older who have obesity,25.2,4093.0,,,College graduate,,,
2969,2018,California,Percent of adults aged 18 years and older who have obesity,31.4,1429.0,,,,,"Less than $15,000",
2970,2018,Texas,Percent of adults aged 18 years and older who have obesity,10.1,215.0,,,,,,Asian
2971,2018,Kansas,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
2972,2018,South Carolina,Percent of adults aged 18 years and older who have obesity,36.7,2043.0,,55 - 64,,,,
2973,2018,Maine,Percent of adults aged 18 years and older who have obesity,20.5,295.0,,18 - 24,,,,
2975,2018,Oklahoma,Percent of adults aged 18 years and older who have obesity,37.4,1517.0,,,Some college or technical school,,,
2976,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,32.3,420.0,,,,,"Less than $15,000",
2977,2018,South Dakota,Percent of adults aged 18 years and older who have obesity,31.1,3123.0,,,,Male,,
2978,2018,Kentucky,Percent of adults aged 18 years and older who have obesity,,,,,,,,Hawaiian/Pacific Islander
2979,2018,Arizona,Percent of adults aged 18 years and older who have obesity,48.6,606.0,,,,,,American Indian/Alaska Native
2980,2018,Arizona,Percent of adults aged 18 years and older who have obesity,33.2,721.0,,,,,"$25,000 - $34,999",
2981,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,33.9,230.0,,,,,,Hispanic
2982,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,8.3,69.0,,,,,,Asian
2984,2018,Delaware,Percent of adults aged 18 years and older who have obesity,37.7,327.0,,,,,"Less than $15,000",
2985,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,39.5,2569.0,,,,Female,,
2986,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,32.5,1073.0,,,High school graduate,,,
2987,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,21.2,1884.0,,,,Male,,
2988,2018,Maine,Percent of adults aged 18 years and older who have obesity,19.9,104.0,,,,,,Hispanic
2989,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,35.8,193.0,,,,,,Non-Hispanic Black
2990,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,40.5,1273.0,,,Some college or technical school,,,
2992,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,38.1,596.0,,,,,"$15,000 - $24,999",
2993,2018,Indiana,Percent of adults aged 18 years and older who have obesity,38.0,123.0,,,,,,2 or more races
2994,2018,Hawaii,Percent of adults aged 18 years and older who have obesity,34.5,79.0,,,,,,Non-Hispanic Black
2996,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,32.1,1396.0,,25 - 34,,,,
2999,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,34.4,565.0,,35 - 44,,,,
3000,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.4,1133.0,,,High school graduate,,,
3001,2018,Utah,Percent of adults aged 18 years and older who have obesity,29.5,1127.0,,,,,"$35,000 - $49,999",
3002,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,"$15,000 - $24,999",
3003,2018,Montana,Percent of adults aged 18 years and older who have obesity,27.8,2333.0,,,,Male,,
3005,2018,Maryland,Percent of adults aged 18 years and older who have obesity,35.8,1512.0,,,,,"$35,000 - $49,999",
3006,2018,Michigan,Percent of adults aged 18 years and older who have obesity,35.7,1146.0,,35 - 44,,,,
3007,2018,Alabama,Percent of adults aged 18 years and older who have obesity,37.2,87.0,,,,,,2 or more races
3008,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,30.9,2881.0,,,,Male,,
3010,2018,Wyoming,Percent of adults aged 18 years and older who have obesity,26.4,552.0,,,,,"$35,000 - $49,999",
3012,2018,Washington,Percent of adults aged 18 years and older who have obesity,15.2,620.0,,18 - 24,,,,
3013,2018,Oregon,Percent of adults aged 18 years and older who have obesity,36.5,409.0,,,,,"Less than $15,000",
3014,2018,Virginia,Percent of adults aged 18 years and older who have obesity,30.0,998.0,,25 - 34,,,,
3016,2018,Florida,Percent of adults aged 18 years and older who have obesity,33.2,2641.0,,55 - 64,,,,
3017,2018,Nevada,Percent of adults aged 18 years and older who have obesity,31.3,564.0,,55 - 64,,,,
3019,2018,National,Percent of adults aged 18 years and older who have obesity,27.4,117780.0,,,,,"$75,000 or greater",
3021,2018,Colorado,Percent of adults aged 18 years and older who have obesity,22.5,3070.0,,,,,"$75,000 or greater",
3022,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,39.6,579.0,,,,,"$50,000 - $74,999",
3023,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,42.0,234.0,,,Less than high school,,,
3024,2018,Indiana,Percent of adults aged 18 years and older who have obesity,38.0,658.0,,35 - 44,,,,
3025,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,34.1,13669.0,Total,,,,,
3026,2018,West Virginia,Percent of adults aged 18 years and older who have obesity,34.0,1726.0,,65 or older,,,,
3027,2018,Tennessee,Percent of adults aged 18 years and older who have obesity,30.1,1149.0,,,,,"$75,000 or greater",
3028,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,36.1,1018.0,,55 - 64,,,,
3029,2018,New York,Percent of adults aged 18 years and older who have obesity,30.5,4191.0,,,,,"$50,000 - $74,999",
3031,2018,Virgin Islands,Percent of adults aged 18 years and older who have obesity,,,,,,,,2 or more races
3032,2018,Colorado,Percent of adults aged 18 years and older who have obesity,6.4,118.0,,,,,,Asian
3033,2018,Washington,Percent of adults aged 18 years and older who have obesity,29.4,9751.0,,,,,,Non-Hispanic White
3034,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,10.9,204.0,,,,,,Asian
3035,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,37.8,755.0,,,,,"Less than $15,000",
3036,2018,Vermont,Percent of adults aged 18 years and older who have obesity,,,,,,,,Non-Hispanic Black
3037,2018,Georgia,Percent of adults aged 18 years and older who have obesity,31.6,3736.0,,,,Male,,
3038,2018,New Hampshire,Percent of adults aged 18 years and older who have obesity,31.1,2453.0,,,,Male,,
3039,2018,Nebraska,Percent of adults aged 18 years and older who have obesity,29.5,4218.0,,,College graduate,,,
3040,2018,Iowa,Percent of adults aged 18 years and older who have obesity,41.0,1056.0,,,,,"$15,000 - $24,999",
3041,2018,Guam,Percent of adults aged 18 years and older who have obesity,34.1,138.0,,,,,,Hispanic
3042,2018,Missouri,Percent of adults aged 18 years and older who have obesity,39.7,476.0,,,,,"Less than $15,000",
3043,2018,Virginia,Percent of adults aged 18 years and older who have obesity,36.6,607.0,,,,,"Less than $15,000",
3044,2018,Alabama,Percent of adults aged 18 years and older who have obesity,19.3,279.0,,18 - 24,,,,
3046,2018,Connecticut,Percent of adults aged 18 years and older who have obesity,27.1,772.0,,25 - 34,,,,
3047,2018,Texas,Percent of adults aged 18 years and older who have obesity,36.1,2429.0,,,High school graduate,,,
3048,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.5,421.0,,,,,"$25,000 - $34,999",
3049,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,30.6,286.0,,,,,,Hispanic
3050,2018,Massachusetts,Percent of adults aged 18 years and older who have obesity,,,,,,,,American Indian/Alaska Native
3051,2018,Guam,Percent of adults aged 18 years and older who have obesity,36.0,206.0,,25 - 34,,,,
3053,2018,Virginia,Percent of adults aged 18 years and older who have obesity,22.5,1270.0,,,,,Data not reported,
3054,2018,Georgia,Percent of adults aged 18 years and older who have obesity,30.2,533.0,,,,,,Hispanic
3055,2018,Wisconsin,Percent of adults aged 18 years and older who have obesity,33.8,55.0,,,,,,2 or more races
3056,2018,District of Columbia,Percent of adults aged 18 years and older who have obesity,9.5,98.0,,,,,,Asian
3057,2018,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3060,2018,Iowa,Percent of adults aged 18 years and older who have obesity,,,,,,,,Other
3063,2018,North Dakota,Percent of adults aged 18 years and older who have obesity,30.4,612.0,,,,,Data not reported,
3064,2018,Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.1,722.0,,,,,"$15,000 - $24,999",
3065,2018,Florida,Percent of adults aged 18 years and older who have obesity,24.4,177.0,,,,,,American Indian/Alaska Native
3066,2018,North Carolina,Percent of adults aged 18 years and older who have obesity,38.2,1235.0,,,Some college or technical school,,,
3067,2018,Georgia,Percent of adults aged 18 years and older who have obesity,43.2,702.0,,,,,"Less than $15,000",
3068,2018,Arkansas,Percent of adults aged 18 years and older who have obesity,39.4,3052.0,,,,Female,,
3069,2018,Minnesota,Percent of adults aged 18 years and older who have obesity,31.9,1858.0,,,,,"$35,000 - $49,999",
3071,2018,Kansas,Percent of adults aged 18 years and older who have obesity,39.5,2030.0,,55 - 64,,,,
3072,2018,Vermont,Percent of adults aged 18 years and older who have obesity,21.9,69.0,,,,,,Hispanic
3073,2018,Texas,Percent of adults aged 18 years and older who have obesity,39.6,1007.0,,,Less than high school,,,
3074,2018,Louisiana,Percent of adults aged 18 years and older who have obesity,36.8,4720.0,Total,,,,,
3076,2018,Delaware,Percent of adults aged 18 years and older who have obesity,51.2,75.0,,,,,,2 or more races
3077,2018,Mississippi,Percent of adults aged 18 years and older who have obesity,39.7,637.0,,,,,"$35,000 - $49,999",
3078,2018,Maine,Percent of adults aged 18 years and older who have obesity,29.0,1692.0,,,,,Data not reported,
3079,2018,California,Percent of adults aged 18 years and older who have obesity,33.3,3544.0,,,,,,Hispanic
3080,2018,New Jersey,Percent of adults aged 18 years and older who have obesity,31.8,546.0,,55 - 64,,,,
3082,2018,Indiana,Percent of adults aged 18 years and older who have obesity,39.3,214.0,,,,,,Hispanic
3083,2018,Texas,Percent of adults aged 18 years and older who have obesity,30.6,2999.0,,,,,"$75,000 or greater",
3084,2018,Guam,Percent of adults aged 18 years and older who have obesity,30.3,203.0,,,,,"Less than $15,000",
